Vocab-sound-local	Sentence-expression	Sentence-meaning
mushiba ha yobou dekimasu	虫歯は予防できます。	Tooth decay can be prevented.
niwa de aki no mushi ga naite iru ne	庭で秋の虫が鳴いているね。	The autumn insects are chirping in the garden.
inu ha kainushi ni chuujitsu desu	犬は飼い主に忠実です。	Dogs are faithful to their owner.
sensei kara no chuukoku wo kiku beki da yo	先生からの忠告を聞くべきだよ。	You should follow the teacher's advice.
benkyou wo namakete ha ikenai yo	勉強を怠けてはいけないよ。	You shouldn't neglect your studies.
kare ha shigoto ni inochi wo kaketeiru no 。	彼は仕事に命を懸けているの。	He risks his life in his job.
hitomazu kyuukei shimashou	一まず休憩しましょう。	Let's take a rest first.
kono goon ha isshou wasuremasen	このご恩は一生忘れません。	I will never forget this kindness.
toujitsu ha tenki ni megumaremashita	当日は天気に恵まれました。	We were blessed with good weather that day.
ten kara megumi no ame ga futta ne	天から恵みの雨が降ったね。	A welcome rain fell from the skies.
kodomo ni ha doutoku wo kichinto oshiete ikitaito omoimasu	子供には道徳をきちんと教えていきたいと思います。	I'd like to properly teach my kids about morality.
machi de shiriai wo mikaketa yo	街で知り合いを見かけたよ。	I saw an acquaintance in town.
yuugata no shigai ha kuruma ga juutai suru yo	夕方の市街は車が渋滞するよ。	The town gets congested with cars in the late afternoon.
kono machi ni ha kagu no tonya ga takusan arimasu	この街には家具の問屋がたくさんあります。	There are a lot of wholesale furniture stores in this town.
kono en ha chokkei 6 senchi desu	この円は直径6センチです。	This circle has a diameter of 6cm.
kono en no hankei ha 5 senchi desu	この円の半径は5センチです。	The radius of this circle is five centimeters.
kono washitsu no tenjou ha hikui ne	この和室の天井は低いね。	The ceiling in this Japanese-style room is low.
tenjou kara ame ga moru no	天井から雨が漏るの。	Rain is leaking from the ceiling.
kare ha gohan wo donburi de tabeta yo	彼はご飯を丼で食べたよ。	He ate rice in a big bowl.
watashi ha koohii mame wo shouryou de kauyou ni shiteimasu 。	私はコーヒー豆を小量で買うようにしています。	I try to buy coffee beans in small amounts.
mazu niku wo panko no ue de korogashimasu	まず、肉をパン粉の上で転がします。	First of all, roll the meat in bread crumbs.
sono shiroi kona ha akachan no miruku desu	その白い粉は赤ちゃんのミルクです。	The white powder is baby's milk.
sono ko ha ootsubu no namida wo ukabeteita no	その子は大粒の涙を浮かべていたの。	The child's eyes were brimming with big tears.
komugi ha iroiro na tabemono ni tsukawarete iru	小麦は色々な食べ物に使われている。	Wheat is used in many foods.
udon ha komugiko kara tsukuraremasu	うどんは小麦粉から作られます。	Udon noodles are made from flour.
oomugi ha biiru no genryou ni narimasu	大麦はビールの原料になります。	Barley is one of the ingredients for beer.
hakari de komugiko no bunryou wo hakatta yo	はかりで小麦粉の分量を量ったよ。	I measured how much flour there was with a kitchen scale.
kono hen ittai ha ringobatake desu	この辺一帯はリンゴ畑です。	The whole area here is apple orchards.
kono nasu ha hatake de toreta bakari desu	このナスは畑で取れたばかりです。	This eggplant has just been picked from the field.
kono hatake de ha mugi wo tsukutte imasu	この畑では麦を作っています。	We're growing wheat in this field.
kono mura ni ha tahata ga takusan arimasu	この村には田畑がたくさんあります。	There are a lot of fields in this village.
uchi de ha otto mo suiji wo shimasu	うちでは夫も炊事をします。	In my house, my husband also cooks.
sutoobu no touyu ga nakunatta wa yo	ストーブの灯油がなくなったわよ。	The kerosene for the stove has run out.
gogo 5 ji ni ha dentou ga tsukimasu	午後5時には電灯がつきます。	The light will be turned on at 5:00 pm.
rousoku no honoo ga heya wo terashita n da	ろうそくの炎が部屋を照らしたんだ。	The candle's flame lit the room.
tokai no sora ha sumoggu de haiiro ne	都会の空はスモッグで灰色ね。	The city sky is gray because of smog.
koyomi no ue de ha kyou kara fuyu desu ne	暦の上では今日から冬ですね。	Winter starts today according to the almanac.
shinsei no nengappi wo seireki de kaite kudasai	申請の年月日を西暦で書いてください。	Please write down the application date in the Western calendar.
ringo no kawa wo mukimashita yo	りんごの皮をむきましたよ。	I peeled an apple.
kare ha hiniku bakari iimasu	彼は皮肉ばかり言います。	He always says sarcastic things.
hiyake de kawa ga muketa	日焼けで皮がむけた。	My skin peeled off due to sunburn.
ninjin no kawa wo mukimashita	人参の皮をむきました。	I peeled the carrot.
fuyu ha hifu ga kansou shimasu ne	冬は皮膚が乾燥しますね。	My skin dries out in winter.
kanojo ha kegawa no kooto wo kite ita no	彼女は毛皮のコートを着ていたの。	She wore a fur coat.
kegawa wo zeikan de bosshuu sareta n da	毛皮を税関で没収されたんだ。	The fur was seized at customs.
kanojo ha keito no seetaa wo amimashita	彼女は毛糸のセーターを編みました。	She knitted a woolen sweater.
inu no ke wo burashi de tokashite yatta no	犬の毛をブラシでとかしてやったの。	I brushed the dog's hair with a brush.
o no nagai tori ga tonde imasu ne	尾の長い鳥が飛んでいますね。	A bird with a long tail is flying.
kanojo ha kami ni ribon wo musunda ne	彼女は髪にリボンを結んだね。	She tied a ribbon in her hair.
kaze de kami ga midareta ne	風で髪が乱れたね。	The wind has messed up your hair.
hahaoya ha musume no kami wo sotto nadeta no	母親は娘の髪をそっとなでたの。	The mother quietly patted her daughter's hair.
kanojo ha itsumo kami wo pin de tomete iru ne	彼女はいつも髪をピンで留めているね。	She always holds her hair with pins.
kami wo aka ni somete mita	髪を赤に染めてみた。	I tried dyeing my hair red.
ushiro kara ikinari kata wo tatakareta	後ろからいきなり肩をたたかれた。	Someone suddenly tapped on my shoulder from behind.
tsukarete kata ga hatte imasu	疲れて肩が張っています。	My shoulders are stiff with fatigue.
kata wo monde kudasai	肩をもんでください。	Please massage my shoulders.
ima jibika ni kakatte imasu	今、耳鼻科にかかっています。	I go to an ENT specialist now.
samuku te kuchibiru ga aoku natte shimatta	寒くて唇が青くなってしまった。	My lips are blue with cold.
koko ha iya na nioi ga suru 。	ここはいやな臭いがする。	There's an unpleasant smell here.
manaita ga namagusai desu	まな板が生臭いです。	The chopping board smells fishy.
nagashi ga niou no de kirei ni shita yo	流しが臭うのできれいにしたよ。	I cleaned the sink because it smelled.
kono keisan ha mendoukusai naa	この計算は面倒臭いなあ。	This calculation is troublesome.
bara no hana ga amaku niotte iru ne	バラの花が甘く匂っているね。	Rose flowers smell sweet.
watashi ha besuto wo tsukushimashita	私はベストを尽くしました。	I did my best.
kono shi wo kaishaku shite mimashou	この詩を解釈してみましょう。	Let's try to interpret this poem.
chichi ha ima de terebi wo mite iru	父は居間でテレビを見ている。	My father is watching TV in the living room.
haha ha ima uchi ni orimasen	母は今、うちに居りません。	My mother isn't at home now.
sono kan ni kare ha inaku natte imashita	その間に彼は居なくなっていました。	He disappeared in the meantime.
maakoredeiidarou。	まあこれでいいだろう。	Well, this will do I suppose.
watashi ha mada ryoushin to doukyo shite imasu	私はまだ両親と同居しています。	I still live with my parents.
tsuchi wo hotte ki wo uemashita	土を掘って木を植えました。	I dug up the soil and planted a tree.
kuruma wo hei ni yoseta yo	車を塀に寄せたよ。	I pulled the car over by the wall.
ame ga issou hageshiku natta ne	雨が一層激しくなったね。	The rain got even heavier.
kono atari ha kousoubiru ga fuemashita ne	このあたりは高層ビルが増えましたね。	The number of high-rise buildings has increased around here.
ikutsu mo no kousou biru ga sobieteita n da 。	いくつもの高層ビルがそびえていたんだ。	A number of tall buildings towered high.
kare ha taisou yorokonde imashita	彼は大層喜んでいました。	He was extremely pleased.
saikin tsukatta fairu ha、 rireki kara sugu hirakemasu	最近使ったファイルは、履歴からすぐ開けます。	You can easily open recently used files from the history folder.
mensetsu no tame ni rirekisho wo kakimashita	面接のために履歴書を書きました。	I wrote out my resume for the interview.
kumo ga sora wo ootte iru ne	雲が空を覆っているね。	The sky is overcast.
kekkon suru to atarashii koseki ga tsukuraremasu	結婚すると新しい戸籍が作られます。	A new family register is made when a couple marry.
omise no garasudo ga warareta n da	お店のガラス戸が割られたんだ。	The shop's glass door was broken.
seinen ni naru to dokuritsu shita koseki wo tsukuremasu	成年になると独立した戸籍を作れます。	An individual family register can be made when you become an adult.
kanojo ha yakuhin wo todana kara dashita n da	彼女は薬品を戸棚から出したんだ。	She took the medicine out of the cupboard.
kono sara wo todana ni shimatte kudasai	この皿を戸棚にしまってください。	Please put away this plate in the cupboard.
kare ha tobira wo aketa n da	彼は扉を開けたんだ。	He opened the door.
chichi ha uchiwa de aoide iru no	父はうちわで扇いでいるの。	My father is fanning himself with a paper fan.
kono pen ha tori no hane de tsukurarete imasu	このペンは鳥の羽根で作られています。	This pen is made from a bird's feather.
yokujitsu kare ni ai ni ikimashita	翌日、彼に会いに行きました。	I went to see him the next day.
yokuasa ha kaisei datta ne	翌朝は快晴だったね。	The weather was fine the next morning.
kanojo ha daigaku sotsugyou no yokunen ni kekkon shita no	彼女は大学卒業の翌年に結婚したの。	She married the year after graduating from university.
