Vocab-sound-local	Sentence-expression	Sentence-meaning
kare ha sanryuu daigaku wo deta ga ima ha shachou da yo	彼は三流大学を出たが、今は社長だよ。	Even though he went to a third-rate college he is now the company president.	1
ogawa ga sarasara nagarete imasu	小川がさらさら流れています。	The stream flows smoothly.	1
kawa no jouryuu ha nagare ga hayai yo	川の上流は流れが速いよ。	The river flows fast upstream.	1
kyou ha ryuutsuu no shikumi wo benkyou shimashou	今日は流通の仕組みを勉強しましょう。	Let's study the distribution mechanism today.	1
sono futatsu no machi no chuukan ni ha kawa ga nagarete iru no	そのふたつの町の中間には川が流れているの。	A river flows between the two towns.	1
kawa no chuuryuu atari ni sono mura ha aru yo	川の中流あたりにその村はあるよ。	That village is near the middle reaches of the river.	1
kare ha madamada niryuu no geinin da ne	彼はまだまだ二流の芸人だね。	He's still a second-class artist.	1
kono fuku ha ima no hayari desu	この服は今の流行です。	These clothes are the latest fashion.	1
kono sutairu ha kotoshi no ryuukou desu	このスタイルは今年の流行です。	This style is in fashion this year.	1
kouzui de takusan no ie ga nagasareta no	洪水でたくさんの家が流されたの。	A lot of houses were washed away in the flood.	1
kanojo ha taichou wo kuzushite imasu	彼女は体調を崩しています。	She is under the weather.	1
ima ha hotondo no toire ga suisen desu yo	今はほとんどのトイレが水洗ですよ。	Most toilets nowadays flush.	1
watashi ha araimono wo shita ato te ni kuriimu wo nurimasu	私は洗い物をしたあと、手にクリームをぬります。	I put on hand cream after doing the dishes.	1
haha ha daidokoro de araimono wo shite imasu	母は台所で洗い物をしています。	Mother is doing the dishes in the kitchen.	1
kare ha kao wo jabujabu aratta no	彼は顔をじゃぶじゃぶ洗ったの。	He washed his face vigorously.	1
senmen yougu wo wasureta	洗面用具を忘れた。	I forgot my toiletries.	1
senmenki de hankachi wo aratta no	洗面器でハンカチを洗ったの。	I washed my handkerchief in a washbowl.	1
sekiyu ha iroiro na seihin no genryou ni narimasu	石油はいろいろな製品の原料になります。	Petroleum is the raw material for various products.	1
gomaabura no kawari ni oriibuyu wo tsukaimashou	ごま油の代わりにオリーブ油を使いましょう。	Let's use olive oil instead of sesame.	1
jitensha ni abura wo sashita no 。	自転車に油をさしたの。	I applied oil to the bicycle.	1
mizu to abura ha mazarimasen	水と油は混ざりません。	Water and oil don't mix.	1
kanojo ha sofaa ni karada wo shizumeta n da	彼女はソファーに体を沈めたんだ。	She sank down into the sofa.	1
shizunda fune wo hikiageta n da	沈んだ船を引き上げたんだ。	The sunken ship was salvaged.	1
chiheisen ni yuuhi ga shizumu tokoro datta no	地平線に夕日が沈むところだったの。	The sun was setting on the horizon.	1
yuuhi ga nishi no sora ni shizunda ne	夕日が西の空に沈んだね。	The evening sun sunk in the western sky.	1
fune ha chinbotsu shimashita	船は沈没しました。	The ship sank.	1
shourai ha pairotto ni naritai desu 。	将来はパイロットになりたいです。	I want to become a pilot in the future.	1
kanojo ga shourai daitouryou ni naru koto ha kakujitsu desu	彼女が将来、大統領になることは確実です。	It is certain that she will become the president in the future.	1
shourai ha puro no kameraman ni naritai desu	将来はプロのカメラマンになりたいです。	I want to be a professional photographer in the future.	1
shourai ha kiraku na seikatsu ga shitai desu	将来は気楽な生活がしたいです。	I want to have an easy life in the future.	1
heiwa ha jinrui no eien no teema desu	平和は人類の永遠のテーマです。	Peace is an eternal issue for human beings.	1
kare ha eikyuu ni kaeranu hito to natta no yo	彼は永久に帰らぬ人となったのよ。	He passed away.	1
hisashiburi ni zensokuryoku de hashirimashita	久しぶりに全速力で走りました。	I ran at full speed for the first time in a long time.	1
koori ha mizu ni ukimasu	氷は水に浮きます。	Ice floats on water.	1
samenai uchi ni douzo oagari kudasai	冷めないうちにどうぞお上がり下さい。	Please eat it while it is still hot.	1
hiete yubi no kankaku ga nai	冷えて指の感覚がない。	I am so cold I can't feel my fingers.	1
seken no hannou ha tsumetakatta yo	世間の反応は冷たかったよ。	The reaction of the public was cold.	1
kitakaze ga tsumetai desu	北風が冷たいです。	The north wind is cold.	1
ocha ga totemo atsukatta no de samashite kara nonda no	お茶がとても熱かったので冷ましてから飲んだの。	As the tea was very hot, I let it cool and then drank it.	1
asu kara kyuu ni hiekomu sou desu	明日から急に冷え込むそうです。	I hear it will suddenly get cold from tomorrow.	1
tomodachi ha sono kappuru wo hiyakashita n da	友達はそのカップルを冷やかしたんだ。	My friend teased the couple.	1
ike ga kachikachi ni kootte imasu	池がかちかちに凍っています。	The pond is frozen solid.	1
nokotta karee wo reitou shimashita	残ったカレーを冷凍しました。	I froze the left-over curry.	1
kuruma wo shako ni irete okimashita	車を車庫に入れておきました。	I put the car in the garage.	1
raishuu naizou wo kensa shimasu	来週、内臓を検査します。	Next week I'll have an internal medical examination.	1
kyou ha kaisei desu ne	今日は快晴ですね。	Today's weather is fine.	1
kono baai hoken ga tekiyou saremasu ka	この場合、保険が適用されますか。	In this case, does insurance apply?	1
kare ha kono shigoto ni tekishiteimasu	彼はこの仕事に適しています。	He's suitable for this work.	1
sono shitsumon no tekitou na kotae ga mitsukarimasen	その質問の適当な答えが見つかりません。	I could not find an appropriate answer to the question.	1
goshiteki itadaki arigatou gozaimasu	ご指摘いただきありがとうございます。	Thank you very much for pointing it out.	1
nihon no natsu ha shitsudo ga takai desu	日本の夏は湿度が高いです。	Humidity is high during summers in Japan.	1
ame no hi ga tsuzuite ie no naka ga shimeppoi na	雨の日が続いて家の中が湿っぽいな。	When it rains for days, the whole house becomes damp.	1
kono heya ha kurakute shikke ga ooi ne	この部屋は暗くて湿気が多いね。	This room is dark and damp.	1
sono kawa no mizu ha osen sarete imasu	その川の水は汚染されています。	That river's water is polluted.	1
kanojo ha hoo wo akaku someta wa	彼女はほおを赤く染めたわ。	Her cheeks flushed pink.	1
sono seido ha haishi saremashita	その制度は廃止されました。	The system was abolished.	1
soto ha ichimen no yukigeshiki datta ne	外は一面の雪景色だったね。	It was a snowy landscape outside.	1
kotoshi ha hikakuteki keiki ga ii	今年は比較的景気がいい。	Business is comparatively good this year.	1
watashi ha yama no fuukei ga suki desu	私は山の風景が好きです。	I like mountain scenery.	1
ima ano kuni ha fukeiki rashii yo	今、あの国は不景気らしいよ。	Apparently, that country is in recession now.	1
mado ni dansei no kage ga utsutte imasu	窓に男性の影が映っています。	There's a man's shadow reflected in the window.	1
endaka no eikyou de kaigai seihin ga yasuku kaemasu yo	円高の影響で海外製品が安く買えますよ。	Overseas products can be bought more cheaply because of the strong yen.	1
shijou ni ha infureeshon no eikyou ga dete iru ne	市場にはインフレーションの影響が出ているね。	The market showed the impact of inflation.	1
fukyou no eikyou de shigoto ga sukunai ne	不況の影響で仕事が少ないね。	There's little work due to the recession.	1
kankyou mondai ni kansuru kiji wo yonda no	環境問題に関する記事を読んだの。	I read an article on environmental issues.	1
koko ha kosodate ni saiteki na kankyou desu	ここは子育てに最適な環境です。	This is the best environment for bringing up children.	1
ano yama no sugu chikaku ga kokkyou desu	あの山のすぐ近くが国境です。	The border is right near those mountains.	1
futatsu no shi no sakai ni kawa ga nagarete iru no	2つの市の境に川が流れているの。	A river flows along the boundary of the two cities.	1
kare ha donna kankyou ni mo tekiou dekimasu	彼はどんな環境にも適応できます。	He can adjust to any environment.	1
hana no seichou wo kansatsu shite nikki wo kakinasai	花の成長を観察して日記を書きなさい。	Observe the growth of the flower and record it in your diary.	1
kare ha jibun no joukyou wo kyakkanteki ni mite mita no ne	彼は自分の状況を客観的に見てみたのね。	He tried to look at his situation objectively.	1
shukan dake de monogoto wo mite ha ikenai	主観だけで物事を見てはいけない。	You shouldn't look at things merely subjectively.	1
sore ha shukanteki na iken da	それは主観的な意見だ。	That is a subjective opinion.	1
ashita ha shinai wo kankou suru yotei desu 。	明日は市内を観光する予定です。	I am scheduled to go sightseeing in the city tomorrow.	1
kyouto de mikkakan kankou shimashita	京都で3日間観光しました。	I went sightseeing for three days in Kyoto.	1
daiyamondo ga kirarito hikatta	ダイヤモンドがきらりと光った。	The diamond gleamed.	1
kono shima ha kankou de naritatte imasu	この島は観光で成り立っています。	This island is built on sightseeing.	1
kono heya ha nikkou ga yoku ataru ne	この部屋は日光がよく当たるね。	This room gets quite a lot of sunshine.	1
sore ha kare no suisoku ni suginai	それは彼の推測にすぎない。	It is no more than his guess.	1
